Date,Value,Series,labels
2001-08-01T00:00:00,10.2,15 to 24 years,2001-08-01T00:00:00
2001-09-01T00:00:00,8.5,15 to 24 years,2001-09-01T00:00:00
2001-10-01T00:00:00,9.8,15 to 24 years,2001-10-01T00:00:00
2001-11-01T00:00:00,9.6,15 to 24 years,2001-11-01T00:00:00
2001-12-01T00:00:00,11,15 to 24 years,2001-12-01T00:00:00
2002-01-01T00:00:00,9.9,15 to 24 years,2002-01-01T00:00:00
2002-02-01T00:00:00,10.4,15 to 24 years,2002-02-01T00:00:00
2002-03-01T00:00:00,11.4,15 to 24 years,2002-03-01T00:00:00
2002-04-01T00:00:00,10.2,15 to 24 years,2002-04-01T00:00:00
2002-05-01T00:00:00,11,15 to 24 years,2002-05-01T00:00:00
2002-06-01T00:00:00,10.3,15 to 24 years,2002-06-01T00:00:00
2002-07-01T00:00:00,10.6,15 to 24 years,2002-07-01T00:00:00
2002-08-01T00:00:00,10.6,15 to 24 years,2002-08-01T00:00:00
2002-09-01T00:00:00,10.6,15 to 24 years,2002-09-01T00:00:00
2002-10-01T00:00:00,11.6,15 to 24 years,2002-10-01T00:00:00
2002-11-01T00:00:00,11.4,15 to 24 years,2002-11-01T00:00:00
2002-12-01T00:00:00,9.9,15 to 24 years,2002-12-01T00:00:00
2003-01-01T00:00:00,11.4,15 to 24 years,2003-01-01T00:00:00
2003-02-01T00:00:00,9.1,15 to 24 years,2003-02-01T00:00:00
2003-03-01T00:00:00,9.9,15 to 24 years,2003-03-01T00:00:00
2003-04-01T00:00:00,9.7,15 to 24 years,2003-04-01T00:00:00
2003-05-01T00:00:00,10.2,15 to 24 years,2003-05-01T00:00:00
2003-06-01T00:00:00,9.5,15 to 24 years,2003-06-01T00:00:00
2003-07-01T00:00:00,9.6,15 to 24 years,2003-07-01T00:00:00
2003-08-01T00:00:00,9.6,15 to 24 years,2003-08-01T00:00:00
2003-09-01T00:00:00,8.8,15 to 24 years,2003-09-01T00:00:00
2003-10-01T00:00:00,7.9,15 to 24 years,2003-10-01T00:00:00
2003-11-01T00:00:00,7.4,15 to 24 years,2003-11-01T00:00:00
2003-12-01T00:00:00,9,15 to 24 years,2003-12-01T00:00:00
2004-01-01T00:00:00,8.7,15 to 24 years,2004-01-01T00:00:00
2004-02-01T00:00:00,9.6,15 to 24 years,2004-02-01T00:00:00
2004-03-01T00:00:00,9.8,15 to 24 years,2004-03-01T00:00:00
2004-04-01T00:00:00,8.2,15 to 24 years,2004-04-01T00:00:00
2004-05-01T00:00:00,7.8,15 to 24 years,2004-05-01T00:00:00
2004-06-01T00:00:00,7.9,15 to 24 years,2004-06-01T00:00:00
2004-07-01T00:00:00,7.9,15 to 24 years,2004-07-01T00:00:00
2004-08-01T00:00:00,8.4,15 to 24 years,2004-08-01T00:00:00
2004-09-01T00:00:00,7.6,15 to 24 years,2004-09-01T00:00:00
2004-10-01T00:00:00,8.5,15 to 24 years,2004-10-01T00:00:00
2004-11-01T00:00:00,8.3,15 to 24 years,2004-11-01T00:00:00
2004-12-01T00:00:00,8.4,15 to 24 years,2004-12-01T00:00:00
2005-01-01T00:00:00,7.7,15 to 24 years,2005-01-01T00:00:00
2005-02-01T00:00:00,8.2,15 to 24 years,2005-02-01T00:00:00
2005-03-01T00:00:00,6.8,15 to 24 years,2005-03-01T00:00:00
2005-04-01T00:00:00,8.5,15 to 24 years,2005-04-01T00:00:00
